AOR,Index,Class
17940480,None,None
17940992,None,None
17942528,None,None
17943040,None,None
17943296,None,None
17943808,None,None
17944064,None,None
17945600,None,None
17945856,None,None
17946368,None,None
17946880,None,None
17947392,None,None
17948672,None,None
17949952,None,None
18053888,None,None
18054144,None,None
18054400,None,None
18054656,None,None
18054912,None,None
18055168,None,None
18055424,None,None
18055680,None,None
18144256,None,None
18349056,None,None
18349312,None,None
18349824,None,None
18350080,None,None
18350336,None,None
18351104,None,None
18351360,None,None
18351616,None,None
18352128,None,None
18352384,None,None
18352896,None,None
18363136,None,None
18363392,None,None
18379520,5,None
18380032,None,None
18380800,4,None
18381568,2,None
18400256,None,None
18404096,2,None
18507520,None,None
18555136,None,None
18555392,None,None
18936832,None,None
18937088,None,None
18937344,None,None
18937856,None,None
19051008,None,None
20339200,None,None
20345344,None,None
20592128,1,None
20592128,5,None
20592384,3,None
20592384,7,None
20592384,9,None
20592384,10,None
21742848,None,None
21743104,1,None
21743104,2,None
21743104,3,None
21743104,4,None
21743360,1,None
21743616,None,None
21743872,1,None
21743872,2,None
21744128,1,None
21744128,2,None
21744128,4,None
21744384,2,None
21744640,None,None
21744896,1,None
21744896,2,None
21745152,None,None
21745408,None,None
21745664,1,None
21745664,2,None
21745920,1,None
21745920,2,None
21749504,None,None
21808128,None,None
21810432,None,None
21810688,None,None
21810944,None,None
21811200,None,None
21883392,None,None
21884160,None,None
21884416,None,None
21884672,None,None
21973504,None,None
22091776,None,None
22259456,None,None
22259968,None,None
22260480,None,None
22260992,None,None
22264064,None,None
22272768,None,None
22273280,None,None
22296832,None,None
22297600,None,None
22297856,None,None
22298112,None,None
22298624,None,None
22298880,None,None
22299136,None,None
22299392,None,None
22300672,None,None
22370304,None,None
22370560,None,None
22370816,None,None
22371072,None,None
22371584,None,None
22371840,None,None
22372096,None,None
22372352,None,None
22372608,None,None
22372864,None,None
22373120,None,None
22373376,None,None
22373632,None,None
22373888,None,None
22374144,None,None
22374400,None,None
22374656,None,None
22374912,None,None
22375168,None,None
22375424,None,None
22375680,None,None
22375936,None,None
22376192,None,None
22376448,None,None
22376704,None,None
22376960,None,None
22377216,None,None
22489088,None,None
22490880,None,None
22492928,None,None
22718208,1,None
22718208,2,None
22718208,3,None
22718208,4,None
22718208,5,None
22718208,6,None
22718208,7,None
22718208,8,None
22718208,9,None
22718208,10,None
22718208,11,None
22718208,12,None
22718208,13,None
22718208,14,None
22718208,15,None
22718464,1,None
22718464,2,None
22718464,4,None
22718464,5,None
22718464,6,None
22718464,7,None
22718464,8,None
22718464,9,None
22718464,11,None
22718464,12,None
22718464,13,None
22718464,14,None
22718464,15,None
22718464,16,None
22718464,17,None
22718464,18,None
22718464,19,None
22718464,20,None
22718464,21,None
22718464,22,None
22718464,23,None
22718464,24,None
22718464,25,None
22718464,26,None
22804992,None,None
22806272,None,None
22806528,None,None
22882304,None,None
22882816,None,None
22924032,None,None
23072000,None,None
23078656,1,None
23078656,2,None
23078656,3,None
23078912,1,None
23078912,2,None
23079168,1,None
23079168,2,None
23079424,1,None
23079424,2,None
23079680,1,None
23079680,2,None
23079936,1,None
23079936,2,None
23080192,1,None
23080192,2,None
23080448,1,None
23080448,2,None
23080704,None,None
23080960,None,None
23081216,None,None
23081472,None,None
23081728,None,None
23081984,None,None
23082240,None,None
23082496,None,None
23162880,None,None
23352064,None,None
23352320,None,None
23352576,None,None
23352832,None,None
23353344,None,None
23353600,None,None
23353856,None,None
23354112,None,None
23354368,None,None
23354624,None,None
23354880,None,None
23355136,None,None
23355392,None,None
23358464,None,None
23358720,None,None
23358976,None,None
23359232,None,None
23359744,None,None
23360000,None,None
23360256,None,None
23360512,None,None
23360768,None,None
23361024,None,None
23361536,None,None
23361792,None,None
23362048,None,None
23362304,None,None
23362560,None,None
23362816,None,None
23363072,None,None
23363328,None,None
23363584,None,None
23363840,None,None
23364096,None,None
23364352,None,None
23364608,None,None
23900928,None,None
23964672,1,None
23965696,1,None
23965952,2,None
23967232,2,None
23967232,4,None
23967232,5,None
23967232,9,None
23967232,10,None
23967232,11,None
23969280,2,None
23969536,2,None
23969792,3,None
23969792,4,None
23969792,5,None
23969792,7,None
23970048,1,None
23971584,2,None
23971584,4,None
23971584,6,None
23971584,7,None
23972352,1,None
23974400,1,None
23974400,4,None
23974656,1,None
23974656,2,None
23974656,4,None
23974656,5,None
23974656,7,None
23974656,8,None
23974656,9,None
23974656,11,None
24368384,None,None
25193472,None,None
25193984,None,None
25195520,None,None
25196032,None,None
25196544,None,None
25198592,None,None
25199104,None,None
25200128,None,None
25200640,None,None
25310208,None,None
25313792,None,None
25314560,None,None
25315072,None,None
25315328,None,None
25315840,None,None
25432064,None,None
25443840,None,None
25444352,None,None
25445632,None,None
25445888,None,None
25446400,None,None
25452800,None,None
25455360,None,None
25455872,None,None
25456384,None,None
25457664,None,None
25746432,None,None
25747456,None,None
25784064,None,None
25784320,None,None
25785856,None,None
25786112,None,None
25786368,None,None
25786880,None,None
25787136,None,None
25787392,None,None
25827840,None,None
25828352,None,None
25828608,None,None
25828864,None,None
25829120,None,None
25831680,None,None
25832192,None,None
25832448,None,None
25833216,None,None
25833472,None,None
25833728,None,None
25834240,None,None
25834496,None,None
25834752,None,None
25835264,None,None
25835520,None,None
25835776,None,None
25836800,None,None
25837056,None,None
25837568,None,None
25837824,None,None
25838080,None,None
25839104,None,None
25839616,None,None
25857280,None,None
25857536,None,None
25857792,None,None
25858560,None,None
25858816,None,None
25859072,None,None
25860096,None,None
25860352,None,None
25861120,None,None
25861376,None,None
25861632,None,None
25862400,None,None
25862912,None,None
25863168,None,None
25863936,None,None
25864448,None,None
25864960,None,None
25865216,None,None
25865472,None,None
25865728,None,None
25865984,None,None
25866240,None,None
25866496,None,None
25866752,None,None
25867008,None,None
25867264,None,None
25868032,None,None
25934336,None,None
26076160,None,None
26076416,None,None
26076672,None,None
26076928,None,None
26077184,None,None
26077440,None,None
26077696,None,None
26077952,None,None
26078208,None,None
26078464,None,None
26078720,None,None
26078976,None,None
26079232,None,None
26079488,None,None
26079744,None,None
26080000,None,None
26080256,None,None
26080512,None,None
26080768,None,None
26081024,None,None
26081280,None,None
26081536,None,None
26081792,None,None
26082048,None,None
26082304,None,None
26082560,None,None
26082816,None,None
26083072,None,None
26083328,None,None
26083584,None,None
26083840,None,None
26122752,None,None
26313728,None,None
26313984,None,None
26314496,None,None
26314752,None,None
26315008,None,None
26315264,None,None
26315520,None,None
26315776,None,None
26360064,None,None
26362368,None,None
26362624,None,None
26414848,None,None
26420736,None,None
26420992,None,None
26421248,None,None
26421504,None,None
26489088,None,None
26489856,None,None
26628608,None,None
26628864,None,None
26629376,None,None
26629632,None,None
26630144,None,None
26630400,None,None
26630912,None,None
26631424,None,None
26631680,None,None
26631936,None,None
26632192,None,None
26632704,None,None
26633216,None,None
26633472,None,None
26633728,None,None
26633984,None,None
26634240,None,None
26634496,None,None
26637056,None,None
26637568,None,None
26637824,None,None
26638080,None,None
26638592,None,None
26639104,None,None
26639616,None,None
26639872,None,None
26640128,None,None
26640384,None,None
26640640,None,None
26640896,None,None
26641152,None,None
26642176,None,None
26643200,None,None
26645760,None,None
26646016,None,None
26905856,None,None
26927360,None,None
27039232,None,None
27562240,None,None
27563264,None,None
27569920,None,None
27570432,None,None
27570688,None,None
27570944,None,None
27571200,None,None
27571456,None,None
27571712,None,None
27571968,None,None
27574528,None,None
27574784,None,None
27575040,None,None
27577856,None,None
27579648,None,None
27580928,None,None
27591424,None,None
27591680,None,None
27983616,3,None
28476416,None,None
28476672,None,None
32555008,3,None
33287936,None,None
33294592,None,None
